Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
22361,Anohana The Movie: The Flower We Saw That Day,20340,Anohana The Movie: The Flower We Saw That Day,2/9/2014,99,Japanese,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Foreign
22360,Dodman's Mud Bog 2013 ,20339,Dodman's Mud Bog 2013 ,2/6/2014,74,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Unknown
22359,Le Hobbit : La bataille des cinq armes ,18321,The Hobbit: The Battle Of The Five Armies,12/17/2014,144,French,French,Wide,Film Presentation,0,1,A,Adult,0,Adaptation
22358,Mchants patrons 2,20141,Horrible Bosses 2,11/26/2014,108,French,French,Wide,Film Presentation,0,0,B,Adult,0,Comedy
22357,Histoire de dauphin 2,19895,Dolphin Tale 2,9/12/2014,108,French,French,Wide,Film Presentation,0,0,B,Family,0,Adventure
22356,L'preuve : Le labyrinthe,19500,The Maze Runner,9/19/2014,114,French,French,Wide,Film Presentation,0,1,B,Adult,0,Adaptation
22355,Tammy (version franaise),19725,Tammy,7/2/2014,97,French,French,Wide,Film Presentation,0,0,B,Adult,0,Comedy
22354,Un jour sans lendemain,19177,Edge Of Tomorrow,6/6/2014,113,French,French,Wide,Film Presentation,0,1,A,Adult,0,Adaptation
22353,Famille recompose,19711,Blended,5/23/2014,117,French,French,Wide,Film Presentation,0,0,A,Family,0,Comedy
22352,Transcendance (v.f.),19572,Transcendence,4/18/2014,120,French,French,Wide,Film Presentation,0,0,A,Adult,0,Drama
22351,Miraculum (v.f.),20338,Miraculum ,2/28/2014,110,French,French,Wide,Film Presentation,0,0,B,Adult,0,Drama
22350,Conte d'hiver,20033,Winter's Tale,2/14/2014,118,French,French,Wide,Film Presentation,0,0,A,Adult,0,Adaptation
22349,Rio 2 (v.f.),19352,Rio 2,4/11/2014,106,French,French,Wide,Film Presentation,0,0,A,Family,0,Comedy
22348,Concert : Kaas chante Piaf,20337,Concert : Kaas chante Piaf,3/2/2014,107,French,French,Ltd,Concert,0,0,B,Adult,0,Musical
22347,Patiala Dreamz (Punjabi w/e.s.t.),20336,Patiala Dreamz (Punjabi w/e.s.t.),1/10/2014,134,Punjabi,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22346,"Girl, Boy, Bakla, Tomboy (Filipino w/e.s.t.)",20335,"Girl, Boy, Bakla, Tomboy (Filipino w/e.s.t.)",1/10/2014,105,Filipino,English,Ltd,Film Presentation,0,0,B,Adult,0,Comedy
