Location_ID,Location_Name,Location_Short_Name,Location_Interactive_Name,Address1,City,Province_CD,Postal_Code,Country_CD,Is_VIP,Is_Outtakes,Is_Licensed_Bar,Is_Licensed_Lounge
5401,"Park Lane 8, Halifax",Park Lane ,"Park Lane 8, Halifax",FP Closed,Halifax,NS,,CA,0,0,0,0
6106,CPX Rothesay,CPX  Rothesay,Cineplex Cinemas Rothesay,77 Marr Road,Quispamsis,NB,E2E 4Z4,CA,0,0,0,0
6107,CPX Saint John,CPX Saint John,Cineplex Cinemas Saint John,175 McAllister Drive,Saint John,NB,E2J 2S6,CA,0,1,0,0
6109,CPX Trinity,CPX Trinity,Cineplex Cinemas Trinity Drive,127 Trinity Drive,Moncton,NB,E1G 2J7,CA,0,1,0,0
6110,CPX Dieppe,CPX Dieppe,Cineplex Cinemas Dieppe,1 Promenade Bass Pro Drive,Dieppe,NB,E1A 6S5,CA,0,0,0,0
6111,CPX Fredericton,CPX Fredericton,Cineplex Cinemas Fredericton,1381 Regent Street,Fredericton,NB,E3C 1A2,CA,0,1,0,0
6112,CPX Miramichi,CPX Miramichi,Cineplex Cinemas Miramichi,2480 King George Highway,Miramichi,NB,E1V 6W4,CA,0,0,0,0
6160,CPX Summerside,CPX Summerside,Cineplex Cinemas Summerside,130 Ryan Street,Summerside,PE,C1N 6G2,CA,0,0,0,0
6161,CPX Charlottetown,CPX Charlottetown,Cineplex Cinemas Charlottetown,670 University Avenue,West Royalty,PE,C1A 7M4,CA,0,0,0,0
6400,"FP8,Moncton","FP8,Moncton","FP8,Moncton",FP Closed,Moncton,NB,,CA,0,0,0,0
6401,"Paramount, Saint John","Paramount, ","Paramount, Saint John",FP Closed,Saint John,NB,,CA,0,0,0,0
6701,Guest Services,Guest Services,Guest Services,1255 Yonge Street,Toronto,ON,M4T 2Y9,CA,0,0,0,0
7001,CSI - Playdium Mississauga,Playdium,Playdium Mississauga,99 Rathburn Rd W,Mississauga,ON,L5B 4C1,CA,0,0,0,0
7002,The Rec Room Roundhouse,Rec Room Roundhouse,The Rec Room Roundhouse,255 Bremner Blvd. ,Toronto,ON,M5V 3M9,CA,0,0,1,0
7003,The Rec Room London Masonville,Rec Room Masonville,The Rec Room London Masonville,1680 Richmond Street North,London,ON,N6G 3Y9,CA,0,0,0,0
7009,The Rec Room Square One,RR Square 1,The Rec Room Square One,"100 City Centre Drive, Unit #1-705",Mississauga,ON,L5B 2C9,CA,0,0,0,0
7010,Playdium Whitby,Playdium Whitby,Playdium Whitby,75 Consumers Drive,Whitby,ON,L1N2C4,CA,0,0,0,0
7012,Playdium Orion Gate,Playdium Orion Gate,Playdium Orion Gate,20 Biscayne Crescent,Brampton,ON,L6W4S1,CA,0,0,0,0
7100,CPX Brantford Cinemas,Brantford,Cineplex Odeon Brantford,300 King George Road,Brantford,ON,N3R 5L7,CA,0,0,0,0
7101,Odeon Cinemas Brantford,Odeon Brantford,Odeon Cinemas Brantford,50 Market Street,Brantford,ON,N3T 2Z5,CA,0,0,0,0
7102,Showcase Cinemas Burlington,Showcase,Showcase Cinemas Burlington,3325 Harvester Road,Burlington,ON,L7N 3N2,CA,0,0,0,0
7103,Centennial Cinemas Brampton,Centennial Bram,Centennial Cinemas Brampton,226 Vodden Rd.,Brampton,ON,L6V 1N2,CA,0,0,0,0
7104,Cineplex Burlington,Cineplex Burlin,Cineplex Burlington,Upper Canada Mall,Burlington,ON,L7R 4B6,CA,0,0,0,0
7105,CPX Carlton Cinemas,Carlton,Cineplex Odeon Carlton,20 Carlton St.,Toronto,ON,M5B 2H5,CA,0,0,0,0
